uniqueId,seminarName,CMname,ECname,seminarStudents,seminarIntro
0,Seminar Title 0,Name CM0,Name EC0,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
1,Seminar Title 1,Name CM1,Name EC1,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
2,Seminar Title 2,Name CM2,Name EC2,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
3,Seminar Title 3,Name CM3,Name EC3,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
4,Seminar Title 4,Name CM4,Name EC4,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
5,Seminar Title 5,Name CM5,Name EC5,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
6,Seminar Title 6,Name CM6,Name EC6,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
7,Seminar Title 7,Name CM7,Name EC7,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
8,Seminar Title 8,Name CM8,Name EC8,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
9,Seminar Title 9,Name CM9,Name EC9,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
10,Seminar Title 10,Name CM10,Name EC10,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
11,Seminar Title 11,Name CM11,Name EC11,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
12,Seminar Title 12,Name CM12,Name EC12,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
13,Seminar Title 13,Name CM13,Name EC13,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
14,Seminar Title 14,Name CM14,Name EC14,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
15,Seminar Title 15,Name CM15,Name EC15,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
16,Seminar Title 16,Name CM16,Name EC16,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
17,Seminar Title 17,Name CM17,Name EC17,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
18,Seminar Title 18,Name CM18,Name EC18,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
19,Seminar Title 19,Name CM19,Name EC19,"Student1, Student2, Student3, Student4","Some interesting introduction to the seminar, misc. info, etc."
